18,,B,F,5/11/2018,Tourist,Kschessinka,Nureyev,Kschessinka,"Altamira Stable LLC, Agent V",KY,3,22.1,76,5/31,Joseph Arango,"18,000",PS,,,Altamira Stable LLC
19,,CH,F,3/3/2018,Palace,Kuba a Noqua,Marquetry,KubaaNoqua,"Bobby Jones Equine LLC, Agent",FL,9,34.4,104,5/31,"45,000",Not Sold,,,,Jones Equine LLC Bobby 
20,,B,C,5/9/2018,Dialed In,Kuhlu,Ghostzapper,Kuhlu,"Gene Recio, Agent IV",KY,17,out,,,Withdrawn,Out,,Out,5/31/2020,Recio Gene
21,,B,F,4/26/2018,Tiznow,La Alpujarra (VEN),Pioneerof the Nile,LaAlpujarraVEN,"Woodside Ranch, Agent I",KY,6,10.2,83,5/31,"Kim Valerio, Agent","40,000",PS,,,Woodside Ranch
22,,DB/BR,F,3/9/2018,Upstart,La Condesa,Freud,LaCondesa,"Julie Davies LLC, Agent XIX",NY,20,out,,,Withdrawn,Out,,Out,6/9/2020,Davies Julie
23,King's Mischief,B,C,2/4/2018,Into Mischief,Lady Bling,Pioneerof the Nile,LadyBling,"de Meric Sales, Agent XVII",KY,12,21.2,21,5/31,"190,000",Not Sold,,,,de Meric Sales
24,,CH,F,3/18/2018,Jess's Dream,Lady Carlotta,Montbrook,LadyCarlotta,Ocala Stud,FL,4,22.3,130,5/31,"4,000",Not Sold,,,,Ocala Stud
25,Good Culture,CH,C,4/10/2018,Anchor Down,Lady Fifty Two,Kodiak Kowboy,LadyFiftyTwo,"Niall Brennan Stables, Agent XXIV",KY,8,out,,,Withdrawn,Out,,Out,4/16/2020,Brennan Niall
26,,DB/BR,C,4/13/2018,Ghostzapper,Lady Mayfair,Medaglia d'Oro,LadyMayfair,"Paul Sharp, Agent VII",NY,C,10.1,34,5/31,"70,000",Not Sold,,,,Sharp Paul M.
27,,B,C,4/28/2018,Violence,Lady Pecan,Concerto,LadyPecan,Q Bar J Thoroughbreds LLC,KY,15,out,,,Withdrawn,Out,,Out,5/29/2020,Q Bar J Thoroughbreds LLC
28,,B,F,4/22/2018,Bodemeister,Ladysgotgame,Street Sense,Ladysgotgame,"Scanlon Training & Sales, Agent IV",KY,2,22.2,117,5/31,Antonio Figueroa-Cruz,"6,000",,,,Scanlon Training Center
29,,B,F,4/15/2018,Constitution,Lady Solvig,Giant's Causeway,LadySolvig,"All In Line Stables, Agent X",KY,15,out,,,Withdrawn,Out,,Out,5/18/2020,All In Line Stables
30,,B,C,1/28/2018,Tourist,Lafirma,Giant's Causeway,Lafirma,"Eddie Woods, Agent XXIX",KY,11,22.2,131,5/31,Christin Griskie Powers,"20,000",,,,Woods Eddie
31,True Identity,DB/BR,C,3/15/2018,Commissioner,Language of Love,Langfuhr,LanguageofLove,"Hemingway Racing and Training Stables LLC, Agent XIV",KY,16,21.4,11,5/31,Manuel Pita,"33,000",,,,Hemingway Racing and Training LLC
32,,B,C,4/5/2018,Verrazano,La Presidenta (ARG),Candy Stripes,LaPresidentaARG,Farm III Enterprises LLC,FL,C,11.1,93,5/31,Theresa Crooks,"7,000",,,,Farm III
33,,B,F,1/8/2018,Honor Code,Lasting Code,Lost Code,LastingCode,"Best A Luck Farm LLC, Agent VI",KY,3,out,,,Withdrawn,Out,,Out,5/30/2020,Best A Luck Farm LLC
34,Red Danny,CH,C,2/19/2018,Jess's Dream,Late to the Party,Latent Heat,LatetotheParty,"Blue River Bloodstock, Inc., Agent II",FL,19,21.2,74,5/31,Melvin Simonovich,"25,000",,,,Blue River Bloodstock
35,,B,C,4/14/2018,Kitten's Joy,Latin Tudor,Yes It's True,LatinTudor,"Eddie Woods, Agent LIII",OH,11,21.0,2,5/31,"Fergus Galvin, Agent","140,000",,,,Woods Eddie
36,,DB/BR,C,2/8/2018,Vancouver (AUS),Laugh Often,Langfuhr,LaughOften,"de Meric Sales, Agent LV",KY,12,out,,,Withdrawn,Out,,Out,6/2/2020,de Meric Sales
37,,B,C,4/29/2018,Social Inclusion,Launch a Double,Bright Launch,LaunchaDouble,"Off the Hook LLC, Agent XV",FL,13,out,,,Withdrawn,Out,,Out,5/31/2020,Off the Hook LLC
38,,B,C,4/12/2018,Uncaptured,Lava Lady,Slew City Slew,LavaLady,"Julie Davies LLC, Agent I",FL,20,out,,,Withdrawn,Out,,Out,5/30/2020,Davies Julie
39,,CH,F,5/16/2018,More Than Ready,La Vita Bella,Giant's Causeway,LaVitaBella,"Cary Frommer LLC, Agent V",KY,10,out,,,Withdrawn,Out,,Out,6/9/2020,Frommer Cary
40,,B,F,3/9/2018,Twirling Candy,Lead Me Not,Speightstown,LeadMeNot,"S G V Thoroughbreds LLC (Steven Venosa), Agent",KY,1,out,,,Withdrawn,Out,,Out,5/27/2020,S G V Thoroughbreds
41,,DB/BR,C,1/13/2018,Not This Time,Legs Like Betty,Awesome Again,LegsLikeBetty,"Eddie Woods, Agent XXIII",KY,11,22.3,110,5/31,Gaston Capote,"10,000",,,,Woods Eddie
42,,B,F,4/8/2018,Street Sense,Lemon Dancer,Lemon Drop Kid,LemonDancer,"Kings Equine, Agent II",KY,1,10.3,4,5/31,Dennis O'Neill,"20,000",,,,Kings Equine
43,,DB/BR,C,2/13/2018,Brody's Cause,Lemondropontherox,Lemon Drop Kid,Lemondropontherox,"Eddie Woods, Agent XI",KY,11,22.0,95,5/31,Anthony Munoz,"6,000",,,,Woods Eddie
44,,DB/BR,C,5/15/2018,Mshawish,Lemon Hero,Lemon Drop Kid,LemonHero,"Niall Brennan Stables, Agent VII",KY,8,out,,,Withdrawn,Out,,Out,4/14/2020,Brennan Niall
45,,B,F,2/15/2018,Midshipman,Lemons and Limes,Lemon Drop Kid,LemonsandLimes,"RiceHorse Stable (Brandon & Ali Rice), Agent II",MD,17,out,,,Withdrawn,Out,,Out,6/1/2020,RiceHorse
46,,DB/BR,C,2/19/2018,Carpe Diem,Leo's Pegasus,Fusaichi Pegasus,LeosPegasus,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XVIII",KY,5,21.4,28,5/31,"Brooke Hubbard, Agent","75,000",,,,"Wavertree Stables, Inc."
47,Allaboutthemoney,B,C,4/30/2018,Into Mischief,Let's Go Cheyenne,Tiznow,LetsGoCheyenne,"Ends Well, Agent I",KY,6,22.0,46,5/31,"170,000",Not Sold,,,,Ends Well
48,Duveen,B,C,4/13/2018,Uncle Mo,Let's Misbehave (IRE),Montjeu (IRE),LetsMisbehaveIRE,"Niall Brennan Stables, Agent VIII",KY,8,out,,,Withdrawn,Out,,Out,6/9/2020,Brennan Niall
49,,B,F,3/28/2018,Upstart,Letting Go,Johannesburg,LettingGo,"Cary Frommer LLC, Agent III",KY,10,10.1,127,5/31,"32,000",Not Sold,,,,Frommer Cary
50,,CH,F,4/6/2018,Distorted Humor,Level Headed,Eddington,LevelHeaded,"de Meric Sales, Agent XXIV",KY,12,out,,,Withdrawn,Out,,Out,5/31/2020,de Meric Sales
51,,CH,F,4/24/2018,Anchor Down,Leveragedtothehilt,Majestic Warrior,Leveragedtothehilt,"Eddie Woods, Agent XXIX",KY,11,21.2,41,5/31,"47,000",Not Sold,,,,Woods Eddie
52,,CH,F,2/22/2018,Mshawish,Lexington Pearl,Elusive Quality,LexingtonPearl,"Mayberry Farm, Agent I",KY,B,10.2,23,5/31,BSW / Crow,"45,000",,,,Mayberry Farm
53,,DB/BR,C,2/3/2018,Tapizar,Liberty Lunch,Flatter,LibertyLunch,Thoroughbred Champions Training Center LLC,KY,G,out,,,Withdrawn,Out,,Out,4/17/2020,Thoroughbred Champions Training Center LLC
54,,DB/BR,C,3/13/2018,Mineshaft,Light of a Star,Muqtarib,LightofaStar,"Pick View LLC, Agent I",KY,3,21.4,115,5/31,"James Divito, Agent","150,000",,,,Pick View LLC
55,,B,C,3/2/2018,Pioneerof the Nile,Light the Sky,Tapit,LighttheSky,"Paul Sharp, Agent XX",KY,C,out,,,Withdrawn,Out,,Out,5/27/2020,Sharp Paul M.
56,,CH,C,2/13/2018,Palace Malice,Like a Queen,Corinthian,LikeaQueen,Golden Star Farm LLC,KY,3,out,,,Withdrawn,Out,,Out,1/21/2020,Golden Star Farm LLC
57,,B,C,2/18/2018,Flashback,Lil Indy,Anasheed,LilIndy,"J V C Training and Sales (Jorge and Maria Villagomez), Agent",KY,19,out,,,Withdrawn,Out,,Out,6/9/2020,J V C Training and Sales
58,,CH,C,4/17/2018,Super Saver,Lil Red Cozette,Henny Hughes,LilRedCozette,"Parrish Farms, Agent I",KY,10,21.0,52,5/31,Dennis O'Neill,"130,000",,,,Parrish Farms
59,,DB/BR,F,3/5/2018,Orb,Lily Pod,Bernstein,LilyPod,L & S Thoroughbreds LLC,KY,10,22.0,47,5/31,"Adam Parker, Agent","21,000",,,,L & S Thoroughbreds LLC
60,,GR/RO,F,3/26/2018,Anchor Down,Lin Marie,Curlin,LinMarie,"Julie Davies LLC, Agent X",KY,20,out,,,Withdrawn,Out,,Out,5/31/2020,Davies Julie
61,,DB/BR,F,4/4/2018,Upstart,Lion Lemon 'n Lime,Lion Hearted,LionLemonnLime,"Hemingway Racing and Training Stables LLC, Agent VII",KY,16,10.2,58,5/31,"40,000",Not Sold,,,,Hemingway Racing and Training LLC
62,,CH,F,2/13/2018,Ironicus,Liquify,More Than Ready,Liquify,"Niall Brennan Stables, Agent",NY,8,21.0,8,5/31,"Brendan Heeney, Agent for Moore Racing LLC","50,000",,,,Brennan Niall
63,,DB/BR,C,4/15/2018,Munnings,Listen Boy,After Market,ListenBoy,Grassroots Training & Sales LLC,MD,J,10.0,19,5/31,"L.E.B., Agent for West Point Thoroughbreds, Inc.","140,000",,,,Grassroots Training & Sales LLC
64,,CH,F,2/2/2018,Dialed In,Listen to My Song,Unbridled's Song,ListentoMySong,"Kings Equine, Agent XVII",KY,1,out,,,Withdrawn,Out,,Out,5/29/2020,Kings Equine
65,,B,F,1/26/2018,Ghostzapper,Listenupnow,Hard Spun,Listenupnow,"Eddie Woods, Agent XXVIII",NY,11,out,,,Withdrawn,Out,,Out,5/1/2020,Woods Eddie
66,,GR/RO,C,1/31/2018,Liam's Map,Listowel,Mineshaft,Listowel,"Eddie Woods, Agent XXIX",KY,11,22.0,72,5/31,Kenneth Fishbein,"14,000",,,,Woods Eddie
67,,B,C,2/27/2018,Goldencents,Little Maryruth,Badge of Silver,LittleMaryruth,"Six K's Training & Sales LLC, Agent II",KY,2,21.4,132,5/31,"Klingler Thoroughbreds, LLC","25,000",PS,,,Six K's Training & Sales LLC
68,,B,F,4/20/2018,Kitten's Joy,Little Miss Brown,Big Brown,LittleMissBrown,"Scanlon Training & Sales, Agent III",NY,2,out,,,Withdrawn,Out,,Out,4/20/2020,Scanlon Training Center
69,,B,C,2/20/2018,Nyquist,Little Ms Protocol,El Corredor,LittleMsProtocol,"Niall Brennan Stables, Agent IX",LA,8,out,,,Withdrawn,Out,,Out,5/20/2020,Brennan Niall
70,,B,C,3/16/2018,Anchor Down,Livin Lovin,Birdstone,LivinLovin,"Grassroots Training & Sales LLC, Agent",KY,J,out,,,Withdrawn,Out,,Out,4/13/2020,Grassroots Training & Sales LLC
71,,DB/BR,F,5/7/2018,Malibu Moon,Long Approach,Broad Brush,LongApproach,"Woodside Ranch, Agent I",KY,6,10.2,43,5/31,KOID CO. LTD,"45,000",PS,,,Woodside Ranch
72,,B,C,2/1/2018,Constitution,Look Who's Ritzy,First Samurai,LookWhosRitzy,Thoroughbred Champions Training Center LLC,KY,G,out,,,Withdrawn,Out,,Out,4/17/2020,Thoroughbred Champions Training Center LLC
73,,CH,C,2/28/2018,Frosted,Lophorina (GB),King's Best,LophorinaGB,"Tom McCrocklin, Agent I",KY,E,out,,,Withdrawn,Out,,Out,6/9/2020,McCrocklin Tom
74,,DB/BR,F,3/6/2018,Curlin,Lots of Chocolate,Mineshaft,LotsofChocolate,Arindel,FL,9,34.4,69,5/31,"37,000",Not Sold,,,,Arindel Farm LLC
75,,GR/RO,F,4/13/2018,Bodemeister,Lovely Lookin,Lookin At Lucky,LovelyLookin,"Sequel Bloodstock, Agent IV",KY,9,10.3,126,5/31,John A. Ross,"16,000",,,,Sequel Bloodstock
76,,DB/BR,F,4/8/2018,Daredevil,Love to Gamble,Brahms,LovetoGamble,"Silvestre Chavez Thoroughbreds, Agent II",KY,16,10.4,79,5/31,Aubrey Maragh,"7,500",,,,Chavez Thoroughbreds Silvestre 
77,,GR/RO,F,5/2/2018,Empire Maker,Love Train,Tapit,LoveTrain,"Ocala Stud, Agent",KY,4,22.0,97,5/31,Paddy Gallagher,"30,000",PS,,,Ocala Stud
78,,CH,F,3/22/2018,Wicked Strong,Lovin Ladie,Master Command,LovinLadie,Advanced Thoroughbreds LLC,FL,D,10.3,42,5/31,Averill Racing LLC,"24,000",,,,Advanced Thoroughbreds LLC
79,,CH,C,3/28/2018,Palace Malice,Lucky Song,Unbridled's Song,LuckySong,"Off the Hook LLC, Agent XXV",FL,13,10.0,12,5/31,Narvick International / J P Equine,"130,000",,,,Off the Hook LLC
80,,B,F,2/13/2018,Blame,Luna Lover,Malibu Moon,LunaLover,"Gabriel Dixon, Agent",KY,C,10.0,92,5/31,Castleton Lyons,"160,000",,,,Dixon Gabriel
81,,DB/BR,C,2/9/2018,Alpha,Lune,Rahy,Lune,"Off the Hook LLC, Agent",NY,13,10.1,82,5/31,Dennis O'Neill,"52,000",,,,Off the Hook LLC
82,,B,C,4/25/2018,Vancouver (AUS),Luvly Rita,Danehill Dancer (IRE),LuvlyRita,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",GB,5,22.3,94,5/31,Three Lyons Bloodstock,"20,000",,,,"Wavertree Stables, Inc."
83,,B,F,2/26/2018,Into Mischief,Madagascat,Tale of the Cat,Madagascat,"de Meric Sales, Agent XX",KY,12,out,,,Withdrawn,Out,,Out,6/9/2020,de Meric Sales
84,,DB/BR,C,4/9/2018,Uncle Mo,Madame Secretary,Empire Maker,MadameSecretary,"Top Line Sales LLC, Agent XLVII",KY,14,10.1,7,5/31,"95,000",Not Sold,,,,Top Line Sales
85,,B,F,2/19/2018,Dominus,Madrilena,Stormy Atlantic,Madrilena,"Woodside Ranch, Agent VII",KY,6,out,,,Withdrawn,Out,,Out,4/20/2020,Woodside Ranch
86,,GR/RO,C,3/7/2018,Frosted,Maggies Storm,Stormy Atlantic,MaggiesStorm,"Golden Rock Thoroughbreds, Agent",NY,16,10.2,71,5/31,Abe Basheer,"35,000",PS,,,Golden Rock Thoroughbreds
87,,B,C,5/17/2018,Outwork,Magical Broad,Broad Brush,MagicalBroad,"Pick View LLC, Agent II",NY,3,out,,,Withdrawn,Out,,Out,3/26/2020,Pick View LLC
88,,DB/BR,C,4/26/2018,Not This Time,Magic Appointment,Grand Appointment,MagicAppointment,A B Thoroughbreds,KY,16,21.4,36,5/31,Jorge Wagner,"20,000",PS,,,A B Thoroughbreds
89,,B,C,3/23/2018,Orb,Magic Belle,Gold Case,MagicBelle,"Woodside Ranch, Agent II",KY,6,21.3,9,5/31,"8,000",Not Sold,,,,Woodside Ranch
90,,DB/BR,F,4/12/2018,Mineshaft,Magic Madison,Ghostly Minister,MagicMadison,"Brick City Thoroughbreds, Agent XII",KY,19,11.0,85,5/31,Joseph Besecker,"12,000",,,,Brick City Thoroughbreds
91,,B,F,2/9/2018,Palace Malice,Magic Pearl,Stormy Atlantic,MagicPearl,"Off the Hook LLC, Agent IV",KY,13,10.2,122,5/31,Robert DiBona,"30,000",,,,Off the Hook LLC
92,Toil and Trouble,CH,C,3/3/2018,Strong Mandate,Magic Shoes,Mineshaft,MagicShoes,Blas Perez Stables,KY,20,21.3,27,5/31,Bob Peterson Stable LLC,"50,000",,,,Perez Stables Blas 
93,,GR/RO,C,3/7/2018,Brody's Cause,Magic Smoke,Smokester,MagicSmoke,Shooting Star Sales LLC,KY,G,10.3,61,5/31,John A. Ross,"18,000",,,,Shooting Star Sales LLC
94,Kolohe Prince,DB/BR,C,4/30/2018,Graydar,Mahalo Princess,Tribal Rule,MahaloPrincess,"Kings Equine, Agent XXII",KY,1,out,,,Withdrawn,Out,,Out,4/16/2020,Kings Equine
95,,DB/BR,C,5/8/2018,Into Mischief,Mahna,Candy Ride (ARG),Mahna,"Ends Well, Agent I",KY,6,10.2,106,5/31,"240,000",Not Sold,,,,Ends Well
96,,GR/RO,C,4/21/2018,Frosted,Majestically,Gone West,Majestically,"Pick View LLC, Agent IV",KY,3,21.3,29,5/31,"Clay Scherer, Agent for Flurry Racing Stable LLC","185,000",,,,Pick View LLC
97,,CH,C,5/2/2018,Speightster,Majestic Maria,Maria's Mon,MajesticMaria,"Potrero Stables, Agent II",FL,19,22.0,57,5/31,Wellspring Stable,"34,000",PS,,,Potrero Stables
98,,B,F,4/6/2018,Vancouver (AUS),Majestic Melresa,Majestic Warrior,MajesticMelresa,Best A Luck Farm LLC,FL,3,10.2,24,5/31,"Nick J. Hines, Agent","30,000",,,,Best A Luck Farm LLC
99,,GR/RO,F,3/27/2018,More Than Ready,Majorelle,Mizzen Mast,Majorelle,"de Meric Sales, Agent XIV",KY,12,out,,,Withdrawn,Out,,Out,5/31/2020,de Meric Sales
100,,DB/BR,C,3/24/2018,Air Force Blue,Make Haste,Tiznow,MakeHaste,"Woodside Ranch, Agent II",KY,6,10.4,113,5/31,Diane Perkins,"34,000",,,,Woodside Ranch
101,,B,F,2/22/2018,Bodemeister,Makes Perfectsense,Street Sense,MakesPerfectsense,"Top Line Sales LLC, Agent XLVIII",KY,14,10.0,26,5/31,Joseph Besecker,"27,000",,,,Top Line Sales
102,,B,C,1/29/2018,Super Saver,Malibu Kash,Malibu Moon,MalibuKash,"S B M Training and Sales, Agent VII",KY,15,out,,,Withdrawn,Out,,Out,5/29/2020,S B M Training and Sales
103,Ash Flat,CH,C,1/26/2018,Daredevil,Mama Nadine,A.P. Indy,MamaNadine,"Top Line Sales LLC, Agent III",KY,14,out,,,Withdrawn,Out,,Out,4/20/2020,Top Line Sales
104,,B,C,4/30/2018,Constitution,Mamboalot,Kingmambo,Mamboalot,"de Meric Sales, Agent XXIV",KY,12,21.3,62,5/31,Elena Racing,"110,000",,,,de Meric Sales
105,,DB/BR,C,4/11/2018,California Chrome,Mamma Kimbo,Discreet Cat,MammaKimbo,"Woodside Ranch, Agent II",KY,6,10.3,129,5/31,Dr. Mo,"7,000",,,,Woodside Ranch
106,,DB/BR,F,3/12/2018,Golden Horn (GB),Mandrell,Dubawi (IRE),Mandrell,"Grassroots Training & Sales LLC, Agent",KY,J,out,,,Withdrawn,Out,,Out,4/28/2020,Grassroots Training & Sales LLC
107,,B,C,3/25/2018,Liam's Map,March On,War Front,MarchOn,"Kings Equine, Agent XXI",KY,1,out,,,Withdrawn,Out,,Out,6/9/2020,Kings Equine
108,,B,C,3/13/2018,Pioneerof the Nile,Marion Ravenwood,A.P. Indy,MarionRavenwood,"Hidden Brook, Agent V",KY,7,21.4,96,5/31,"D C T M, Agent","170,000",,,,Hidden Brook Farm
109,,DB/BR,C,3/6/2018,Shanghai Bobby,Market Lover,Latent Heat,MarketLover,"Off the Hook LLC, Agent VI",KY,13,10.0,100,5/31,Jeff Ganje,"60,000",,,,Off the Hook LLC
110,,GR/RO,F,3/16/2018,Temple City,Maryland Mist,Cozzene,MarylandMist,"Top Line Sales LLC, Agent XXXII",KY,14,out,,,Withdrawn,Out,,Out,5/30/2020,Top Line Sales
111,Fedalia,GR/RO,F,3/8/2018,Fed Biz,Matinee Express,Zensational,MatineeExpress,Santa Fe Thoroughbreds,NY,G,10.1,68,5/31,"45,000",Not Sold,,,,Santa Fe Thoroughbreds
112,,B,F,4/4/2018,Chitu,Mau,Tale of the Cat,Mau,Nice and Easy Thoroughbreds,FL,13,out,,,Withdrawn,Out,,Out,5/25/2020,Nice and Easy Thoroughbreds
113,,CH,C,2/14/2018,More Than Ready,Maude S,Jump Start,MaudeS,"de Meric Sales, Agent XIV",KY,12,out,,,Withdrawn,Out,,Out,5/31/2020,de Meric Sales
114,,GR/RO,F,3/26/2018,Exaggerator,Maxie Ford,Tapit,MaxieFord,"Off the Hook LLC, Agent XXV",KY,13,10.1,59,5/31,Antonio Sano,"30,000",,,,Off the Hook LLC
115,Feathers Road,B,C,3/25/2018,Quality Road,May Shares,Stonesider,MayShares,"Hoppel's Horse & Cattle Co., Inc., Agent V",NY,9,21.4,102,5/31,"220,000",Not Sold,,,,"Hoppel's Horse & Cattle Co., Inc."
116,,CH,C,3/2/2018,Broken Vow,Mazella,Mazel Trick,Mazella,"Mayberry Farm, Agent V",KY,B,out,,,Withdrawn,Out,,Out,5/31/2020,Mayberry Farm
117,,CH,C,5/3/2018,Congrats,Mazucambera,Milwaukee Brew,Mazucambera,"S G V Thoroughbreds LLC (Steven Venosa), Agent",ON,1,21.4,64,5/31,M E Dowell,"40,000",,,,S G V Thoroughbreds
118,Semper Fidelis,B,C,3/6/2018,Fast Anna,Meadow Saffron,Military,MeadowSaffron,"Eisaman Equine, Agent",KY,7,10.1,48,5/31,Charles Zacney Racing,"160,000",,,,Eisaman Equine
119,,CH,C,3/12/2018,Uncaptured,Meetmeontime,General Meeting,Meetmeontime,"Southern Chase Farm, Inc. (Greg & Karen Dodd), Agent",IN,7,10.1,70,5/31,"Sallusto & Albina, Agent for Lawson Racing Stables","125,000",,,,"Southern Chase Farm, Inc."
120,,DB/BR,C,4/20/2018,Cairo Prince,Meiann,First Samurai,Meiann,"Sequel Bloodstock, Agent V",NY,9,10.3,87,5/31,Diane Perkins,"17,000",,,,Sequel Bloodstock
121,,B,C,3/20/2018,Street Sense,Mekong Delta,Stormy Atlantic,MekongDelta,"Niall Brennan Stables, Agent III",ON,8,out,,,Withdrawn,Out,,Out,5/31/2020,Brennan Niall
122,,B,C,2/22/2018,The Big Beast,Melrose,Vindication,Melrose,"Eddie Woods, Agent XI",FL,11,out,,,Withdrawn,Out,,Out,4/20/2020,Woods Eddie
123,Brother Brody,DB/BR,C,2/26/2018,Brody's Cause,Mesa Mist,Sky Mesa,MesaMist,"L. G., Agent I",KY,D,out,,,Withdrawn,Out,,Out,3/11/2020,"L. G., Agent"
124,,CH,F,3/21/2018,Distorted Humor,Mia and Molly,Giant's Causeway,MiaandMolly,"Top Line Sales LLC, Agent XI",KY,14,out,,,Withdrawn,Out,,Out,6/8/2020,Top Line Sales
125,,B,F,2/12/2018,Vancouver (AUS),Michele the Great,Distorted Humor,MicheletheGreat,"Niall Brennan Stables, Agent",NY,8,22.0,45,5/31,"37,000",Not Sold,,,,Brennan Niall
126,,B,F,3/13/2018,Will Take Charge,Midnight Dream,Elusive Quality,MidnightDream,"Bobby Dodd, Agent III",FL,10,out,,,Withdrawn,Out,,Out,4/20/2020,Dodd Bobby
127,,DB/BR,F,5/10/2018,J P's Gusto,Midnight Lark,Midnight Lute,MidnightLark,"S G V Thoroughbreds LLC (Steven Venosa), Agent",FL,1,out,,,Withdrawn,Out,,Out,4/30/2020,S G V Thoroughbreds
128,,DB/BR,C,2/22/2018,Cross Traffic,Midnight Search,Vying Victor,MidnightSearch,"Brick City Thoroughbreds, Agent XII",KY,19,10.2,44,5/31,Joseph Besecker,"27,000",,,,Brick City Thoroughbreds
129,,B,F,4/23/2018,Into Mischief,Midnight Visit,Henny Hughes,MidnightVisit,"Woodford Thoroughbreds, Agent I",KY,17,21.0,32,5/31,Spendthrift Farm,"400,000",,,,Woodford Thoroughbreds
130,,B,C,3/23/2018,Malibu Moon,Millennia,Milwaukee Brew,Millennia,"Sequel Bloodstock, Agent IV",IL,9,21.2,15,5/31,Pro Racing Stable LLC,"10,000",,,,Sequel Bloodstock
