hip_number,in_out_status,foaling_year,horse_name,color,sex,foaling_date,sire_name,dam_name,sort_dam,dam_sire,property_line_1,property_line_2,consignor_sort,foaling_area,barn_number,buyer_name,hammer_price,post_sale_indicator,outdate,ut_time,ut_distance,ut_actual_date,ut_group,ut_set,pp_pdf_link
25,O,2023,,B,F,02/15/2023,Maxfield,Lady Rosalie (IRE),560,Dubawi (IRE),"Lucan Bloodstock (Karl Keegan), Agent VI",,Lucan Bloodstock (Karl Keegan),NY,18,OUT,,,04/07/2025,,,,,,
26,O,2023,Crevalla de Vil,B,F,04/08/2023,Upstart,Lady Stardust,561,Union Rags,"White Lilac (Katie Miranda), Agent II",,White Lilac (Katie Miranda),KY,17,OUT,,,04/01/2025,,,,,,
27,I,2023,,B,C,03/28/2023,Into Mischief,Lady Take Charge,562,War Front,"Top Line Sales LLC, Agent XL",,Top Line Sales LLC,KY,1,Calumet Farm,100000,Y,,10.1," 1/8",04/06/2025,2,69,
28,O,2023,Bewitchingly,B,F,01/27/2023,Into Mischief,Lady Ten,563,Rock Hard Ten,"Scanlon Training & Sales, Agent IX",,Scanlon Training & Sales,KY,9,OUT,,,04/08/2025,,,,,,
29,O,2023,Laker,DB/BR,F,03/24/2023,Beau Liam,Lake Michigan,564,Pleasant Tap,"White Lilac (Katie Miranda), Agent III",,White Lilac (Katie Miranda),KY,17,OUT,,,04/15/2025,,,,,,
30,I,2023,,DB/BR,C,02/13/2023,Nyquist,La Muse,565,Tapit,"de Meric Sales, Agent XVII",,de Meric Sales,MD,12,Hubert Guy Bloodstock,180000,,,10.0," 1/8",04/06/2025,1,37,
31,I,2023,,B,C,04/30/2023,Upstart,Langcita,566,Langfuhr,"Niall Brennan Stables, Agent XVIII",,Niall Brennan Stables,KY,8,RNA,-150000,,,10.1," 1/8",04/06/2025,2,57,
32,I,2023,,DB/BR,C,02/09/2023,Tacitus,Laoban Furen,567,Laoban,"Longoria Training & Sales, Agent",,Longoria Training & Sales,KY,7,RNA,-95000,,,21.1," 1/4",04/06/2025,1,8,
33,I,2023,,DB/BR,F,03/12/2023,Tacitus,Larissa's Love,568,Johannesburg,Dark Star Thoroughbreds (Stori Atchison),,Dark Star Thoroughbreds (Stori Atchison),KY,9,"Mary Bennett, Winning Stables, Inc.",22000,,,22.1," 1/4",04/06/2025,2,86,
34,I,2023,,GR/RO,C,04/04/2023,Mendelssohn,La Song,569,Unbridled's Song,"Julie Davies LLC, Agent XV",,Julie Davies LLC,KY,10,Harmash Racing,125000,,,10.1," 1/8",04/06/2025,3,130,
35,O,2023,,CH,F,02/21/2023,Munnings,Lastofthsummerwine,570,Sky Mesa,"Sequel Bloodstock, Agent II",,Sequel Bloodstock,KY,9,OUT,,,03/13/2025,,,,,,
36,I,2023,,DB/BR,F,03/22/2023,Silver State,Last Play,571,Stormy Atlantic,"Harris Training Center LLC, Agent VI",,Harris Training Center LLC,KY,13,AviBros Stables,30000,,,10.2," 1/8",04/06/2025,2,61,
37,O,2023,Dancewithmyfather,B,C,04/16/2023,Audible,Latte Da,572,Tiznow,"Lucan Bloodstock (Karl Keegan), Agent VII",,Lucan Bloodstock (Karl Keegan),KY,18,OUT,,,04/06/2025,,,,,,
38,I,2023,,B,C,05/10/2023,Goldencents,Lauded,573,Medaglia d'Oro,GOP Racing Stable Corp.,,GOP Racing Stable Corp.,KY,20,Rudy Rodriguez,60000,,,10.0," 1/8",04/06/2025,1,38,
39,O,2023,,B,C,01/23/2023,Sharp Azteca,La Vie Ross,574,Medaglia d'Oro,"GOP Racing Stable Corp., Agent",,GOP Racing Stable Corp.,FL,20,OUT,,,04/07/2025,,,,,,
40,O,2023,Glengloria,B,F,03/14/2023,Maximus Mischief,L. A. Way,575,Tizway,"Tom McCrocklin, Agent XXVII",,Tom McCrocklin,IA,18,OUT,,,04/15/2025,,,,,,
41,I,2023,,DB/BR,C,05/07/2023,Candy Ride (ARG),Layreebelle,576,Tale of the Cat,"de Meric Sales, Agent XVII",,de Meric Sales,KY,12,DJ Stable LLC,250000,Y,,10.2," 1/8",04/06/2025,2,59,
42,I,2023,,B,F,05/01/2023,Twirling Candy,Lazy Daisy,577,Paynter,"Niall Brennan Stables, Agent XVII",,Niall Brennan Stables,KY,8,Calumet Farm,135000,,,10.2," 1/8",04/06/2025,2,81,
43,O,2023,,DB/BR,F,04/24/2023,Medaglia d'Oro,Lazy Susan,578,Tiznow,"Niall Brennan Stables, Agent XX",,Niall Brennan Stables,KY,8,OUT,,,04/06/2025,,,,,,
44,O,2023,,CH,C,03/13/2023,Practical Joke,Leah Chase,579,Lemon Drop Kid,"Cesar Loya Training & Sales, Agent IV",,Cesar Loya Training & Sales,KY,1,OUT,,,04/15/2025,,,,,,
45,O,2023,,GR/RO,F,01/22/2023,Munnings,Legitimately,580,Tapit,Caliente Thoroughbreds,,Caliente Thoroughbreds,KY,E,OUT,,,04/08/2025,,,,,,
46,I,2023,,B,C,04/09/2023,By My Standards,Lehigh,581,Top Hit,"Triple C Sales, Agent I",,Triple C Sales,KY,16,"West Point Thoroughbreds, L.E.B., Agent",170000,,,10.1," 1/8",04/06/2025,2,66,
47,O,2023,,B,C,05/04/2023,No Never No More,Leilani's Lady,582,Beau Choix,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,S G V Thoroughbreds LLC (Steven Venosa),FL,10,OUT,,,04/01/2025,,,,,,
48,O,2023,,B,C,04/13/2023,Central Banker,Lemme,583,Lemon Drop Kid,McMahon of Saratoga Thoroughbreds LLC,,McMahon of Saratoga Thoroughbreds LLC,NY,17,OUT,,,03/20/2025,,,,,,
49,I,2023,,B,F,04/04/2023,The Factor,Lemon Avocado,584,Lemon Drop Kid,"Cortez Racing & Sales, Agent",,Cortez Racing & Sales,FL,15,RNA,-21000,,,10.2," 1/8",04/06/2025,3,118,
50,O,2023,,B,C,03/10/2023,Bolt d'Oro,Lemon de Oro,585,Lemon Drop Kid,"Tom McCrocklin, Agent IV",,Tom McCrocklin,KY,18,OUT,,,04/06/2025,,,,,,
51,O,2023,Just a Little Bit,CH,F,05/05/2023,Stanford,Lemon Drop Sis,586,Lemon Drop Kid,"Chuy Ceballos, Agent II",,Chuy Ceballos,CA,19,OUT,,,04/04/2025,,,,,,
52,I,2023,,DB/BR,F,04/08/2023,Rock Your World,Le Plume,587,Smart Strike,"Majestic, Agent XIX",,Majestic,KY,13,Marc Tacher,50000,,,10.1," 1/8",04/06/2025,2,62,
53,I,2023,,CH,C,03/05/2023,Kantharos,Levelplayingfield,588,Twirling Candy,"Grassroots Training & Sales LLC, Agent II",,Grassroots Training & Sales LLC,KY,J,Chestnut Hill Stable LLC,50000,,,10.0," 1/8",04/06/2025,2,98,
54,O,2023,,DB/BR,F,05/06/2023,Silver State,Like It Hot,589,Giant's Causeway,"Top Line Sales LLC, Agent XLI",,Top Line Sales LLC,KY,1,OUT,,,03/31/2025,,,,,,
55,O,2023,,B,C,02/10/2023,Modernist,Lila Ruth,590,Sidney's Candy,"Top Line Sales LLC, Agent XLV",,Top Line Sales LLC,KY,1,OUT,,,04/05/2025,,,,,,
56,I,2023,It's Pay Day,B,F,01/25/2023,Candy Ride (ARG),Lily's Spark,591,Mineshaft,"de Meric Sales, Agent XI",,de Meric Sales,KY,12,"Hidden Brook, Agent",37000,,,10.3," 1/8",04/06/2025,2,96,
57,O,2023,,B,C,05/04/2023,Runhappy,Line Dancing,592,Speightstown,"Ocala Stud, Agent",,Ocala Stud,KY,4,OUT,,,04/15/2025,,,,,,
58,O,2023,,CH,F,04/17/2023,Street Boss,Line Up,593,Violence,"Navas Equine, Agent III",,Navas Equine,KY,15,OUT,,,04/06/2025,,,,,,
59,O,2023,,GR/RO,C,02/12/2023,Liam's Map,Lisa's Legacy,594,Hard Spun,"White Lilac (Katie Miranda), Agent V",,White Lilac (Katie Miranda),KY,17,OUT,,,04/01/2025,,,,,,
60,I,2023,,CH,F,03/25/2023,Tiz the Law,Little Dipper,595,Eskendereya,Ocala Stud,,Ocala Stud,KY,4,"Schultz Racing Stable, LLC",95000,,,21.2," 1/4",04/06/2025,1,4,
61,I,2023,,CH,F,05/10/2023,Classic Empire,Little Jude,596,Distorted Humor,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,S G V Thoroughbreds LLC (Steven Venosa),KY,10,"Lampkins Equine, LLC",25000,Y,,10.2," 1/8",04/06/2025,2,76,
62,O,2023,,CH,C,04/14/2023,Lexitonian,Little Miss Ellie,597,Richard's Kid,Scenic Sales,,Scenic Sales,KY,16,OUT,,,04/15/2025,,,,,,
63,O,2023,,CH,C,02/10/2023,Improbable,Little Swoon,598,You and I,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,S G V Thoroughbreds LLC (Steven Venosa),KY,10,OUT,,,04/15/2025,,,,,,
64,I,2023,,CH,C,04/28/2023,Nyquist,Live for Now,599,Tiznow,"S B M Training and Sales, Agent VI",,S B M Training and Sales,KY,2,Saffie Joseph Jr,175000,,,10.1," 1/8",04/06/2025,1,23,
65,I,2023,Peer,B,F,02/15/2023,Maclean's Music,Long View (IRE),600,Galileo (IRE),"Harris Training Center LLC, Agent IV",,Harris Training Center LLC,KY,13,"Hidden Brook, Agent",15000,Y,,10.3," 1/8",04/06/2025,2,94,
66,I,2023,,CH,C,02/14/2023,Practical Joke,Lookintogetlucky,601,Candy Ride (ARG),Caliente Thoroughbreds,,Caliente Thoroughbreds,KY,E,"McMahon and Hill, Agent My Way Racing",180000,Y,,10.0," 1/8",04/06/2025,1,12,
67,O,2023,,DB/BR,F,03/19/2023,Valid Point,Look Who's Talking,602,Cape Blanco (IRE),Double R Equine Sales,,Double R Equine Sales,FL,A,OUT,,,03/31/2025,,,,,,
68,O,2023,,DB/BR,F,04/11/2023,Mendelssohn,Lost Innocence,603,Lookin At Lucky,"Golden Woods Thoroughbreds, Agent",,Golden Woods Thoroughbreds,NY,D,OUT,,,04/06/2025,,,,,,
69,I,2023,,B,C,05/03/2023,Street Boss,Lost in Success,604,Successful Appeal,"Marcial Galan, Agent I",,Marcial Galan,KY,A,HRH Prince Abdulaziz AL Saud,35000,,,10.0," 1/8",04/06/2025,2,87,
70,I,2023,,DB/BR,C,04/26/2023,Shancelot,Loteria,605,Nyquist,"Top Line Sales LLC, Agent VII",,Top Line Sales LLC,KY,1,RNA,-73000,,,9.4," 1/8",04/06/2025,1,5,
71,O,2023,,B,C,04/08/2023,Twirling Candy,Lottie,606,Arch,"Britton Peak, Agent",,Britton Peak,KY,19,OUT,,,04/06/2025,,,,,,
72,I,2023,,DB/BR,F,05/14/2023,Yaupon,Love Ava Love,607,Mr. Greeley,RiceHorse Stable (Brandon & Ali Rice),,RiceHorse Stable (Brandon & Ali Rice),KY,6,Cash Is King,125000,Y,,10.0," 1/8",04/06/2025,1,52,
73,O,2023,Love Knicks Hart,B,F,03/03/2023,Knicks Go,Love for Scarlett,608,Not For Love,"Six K's Training & Sales LLC, Agent VI",,Six K's Training & Sales LLC,KY,20,OUT,,,04/06/2025,,,,,,
74,O,2023,,CH,C,04/17/2023,Omaha Beach,Lovely Lookin,609,Lookin At Lucky,"Navas Equine, Agent VI",,Navas Equine,KY,15,OUT,,,04/15/2025,,,,,,
75,I,2023,,DB/BR,F,05/03/2023,Upstart,Lovely Marissa,610,Proud Citizen,"Grassroots Training & Sales LLC, Agent II",,Grassroots Training & Sales LLC,KY,J,Adelphi Racing Club & StarLadies Racing,125000,,,9.4," 1/8",04/06/2025,1,2,
76,I,2023,,B,C,03/21/2023,Twirling Candy,Lovers Quarrel,611,Liam's Map,"Mayberry Farm, Agent IX",,Mayberry Farm,KY,B,Calumet Farm,25000,Y,,10.2," 1/8",04/06/2025,1,47,
77,O,2023,,DB/BR,F,01/24/2023,Silver State,Loving Lorraine,612,Bernstein,"CM Thoroughbreds, Agent I",,CM Thoroughbreds,MN,D,OUT,,,04/07/2025,,,,,,
78,I,2023,War Transmission,DB/BR,C,04/06/2023,Fog of War,Loving Lorri,613,Tale of the Cat,"Victory Stable, Agent",,Victory Stable,NY,16,S.R.O.A. (K.O.I.D.),25000,,,10.3," 1/8",04/06/2025,1,25,
79,I,2023,,B,F,04/09/2023,Good Magic,Loving Moment,614,Uncle Mo,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,S G V Thoroughbreds LLC (Steven Venosa),NY,10,"George Weaver, Agent for Vekoma Thoroughbreds LLC",100000,,,10.2," 1/8",04/06/2025,1,43,
80,O,2023,,B,F,03/22/2023,Core Beliefs,Lucille of Troy,615,Revolutionary,"Silvestre Chavez Thoroughbreds, Agent VI",,Silvestre Chavez Thoroughbreds,KY,17,OUT,,,04/06/2025,,,,,,
81,O,2023,,B,C,05/05/2023,Galiway (GB),Lucky Jolie,616,More Than Ready,"Niall Brennan Stables, Agent XIX",,Niall Brennan Stables,FR,8,OUT,,,03/28/2025,,,,,,
82,I,2023,,B,C,04/10/2023,Into Mischief,Lucy N Ethel,617,During,"Six K's Training & Sales LLC, Agent IX",,Six K's Training & Sales LLC,KY,20,San Franciso Group Stable LLC,30000,,,10.3," 1/8",04/06/2025,2,83,
83,I,2023,,DB/BR,F,03/20/2023,Combatant,Lunar Affair,618,Malibu Moon,"Sweet River Thoroughbreds, Agent I",,Sweet River Thoroughbreds,NY,A,"West Point Thoroughbreds, L.E.B., Agent",80000,,,10.1," 1/8",04/06/2025,3,123,
84,I,2023,,B,C,04/11/2023,Tom's d'Etat,Lunar Landing,619,El Corredor,"Grade One Investments LLC, Agent II",,Grade One Investments LLC,KY,14,Gary Folgner,22000,,,10.2," 1/8",04/06/2025,3,113,
85,I,2023,,GR/RO,F,04/09/2023,Vekoma,Lunar Lullaby,620,Malibu Moon,"Tom McCrocklin, Agent VII",,Tom McCrocklin,KY,18,Sleeper Thoroughbreds,100000,Y,,21.0," 1/4",04/06/2025,1,22,
86,O,2023,,B,F,03/25/2023,Audible,Lustica,621,Street Sense,"Eddie Woods, Agent XVII",,Eddie Woods,PA,11,OUT,,,04/15/2025,,,,,,
87,I,2023,Bolt Bayou,DB/BR,F,03/04/2023,Bolt d'Oro,Luxurious,622,Awesome Again,"Tom McCrocklin, Agent XVIII",,Tom McCrocklin,KY,18,RNA,-5000,,,21.4," 1/4",04/06/2025,3,119,
88,O,2023,,CH,C,04/20/2023,Tapiture,L X Sunrise,623,Kodiak Kowboy,"Randy Miles, Agent V",,Randy Miles,KY,19,OUT,,,04/06/2025,,,,,,
89,O,2023,,B,F,02/15/2023,Beau Liam,Lynda's Rage,624,Sky Mesa,"Majestic, Agent III",,Majestic,KY,13,OUT,,,04/15/2025,,,,,,
90,O,2023,,B,C,04/05/2023,Maclean's Music,Mabsota,625,Shamardal,"Eddie Woods, Agent XL",,Eddie Woods,KY,11,OUT,,,03/31/2025,,,,,,
91,I,2023,,DB/BR,C,03/28/2023,Maxfield,Madam Mom,626,Uncaptured,Ocala Stud,,Ocala Stud,KY,4,LBR Racing Stable / Michael S. Schmidt,38000,,,21.1," 1/4",04/06/2025,1,28,
92,I,2023,,CH,C,03/07/2023,Catalina Cruiser,Madison Avenue,627,Quality Road,Thorostock LLC,,Thorostock LLC,MD,H,RNA,-45000,,,10.1," 1/8",04/06/2025,3,125,
93,I,2023,,CH,C,02/20/2023,Authentic,Madison Kat,628,Discreetly Mine,"J V C Training and Sales, Agent II",,JVC Training and Sales,KY,15,RNA,-50000,,,10.0," 1/8",04/06/2025,3,104,
94,I,2023,,GR/RO,F,02/09/2023,Improbable,Madita (GER),629,Soldier Hollow (GB),"Grassroots Training & Sales LLC, Agent I",,Grassroots Training & Sales LLC,NY,J,Bob Novak,45000,,,10.2," 1/8",04/06/2025,3,128,
95,I,2023,,DB/BR,C,04/02/2023,Independence Hall,Madre Ditutticapi,630,Street Boss,"JP Training & Sales, Agent",,JP Training & Sales,FL,B,"Pedro Lanz, Agent for Abdullah Alghanmi",125000,,,10.0," 1/8",04/06/2025,3,110,
96,I,2023,,GR/RO,F,04/12/2023,Tapit,Mae Never No (IRE),631,No Nay Never,"de Meric Sales, Agent X",,de Meric Sales,FL,12,Go Go Grey Stable,575000,,,10.0," 1/8",04/06/2025,1,7,
97,O,2023,,DB/BR,C,04/24/2023,Maclean's Music,Maggie Fitz,632,Ghostzapper,"McKathan Bros. Sales, Agent",,McKathan Bros. Sales,KY,6,OUT,,,04/06/2025,,,,,,
98,O,2023,,CH,F,05/10/2023,Lexitonian,Magical Dream,633,Malibu Moon,"Gene Recio, Agent XI",,Gene Recio,KY,17,OUT,,,04/15/2025,,,,,,
99,I,2023,Mr. Florida,GR/RO,C,01/23/2023,Uncle Chuck,Magical Flair,634,Defrere,"Majestic, Agent V",,Majestic,FL,13,Ray Huelsman & Keith Anderson,50000,,,10.1," 1/8",04/12/2025,3,120,
100,I,2023,,B,F,02/13/2023,Blame,Magically Honored,635,Honor Code,"Eddie Woods, Agent XIX",,Eddie Woods,CA,11,"Peter Miller, Agent",60000,,,10.0," 1/8",04/06/2025,3,107,
101,I,2023,,B,F,05/01/2023,Charlatan,Magical Ride,636,Storm Cat,"Grade One Investments LLC, Agent II",,Grade One Investments LLC,KY,14,"Amanda Gillman, Agent for Lucky Hat",130000,,,10.0," 1/8",04/06/2025,1,34,
102,I,2023,,B,C,04/01/2023,Tacitus,Magical Sign,637,Gun Runner,Thorostock LLC,,Thorostock LLC,KY,H,"Justin Casse, Agent",500000,,,10.1," 1/8",04/06/2025,1,27,
103,I,2023,,B,C,04/13/2023,Maximus Mischief,Magic Appointment,638,Grand Appointment,"Best A Luck Farm LLC, Agent V",,Best A Luck Farm LLC,KY,3,U Racing Stables & David Berman,275000,,,10.0," 1/8",04/06/2025,1,32,
104,I,2023,Jupiter,DB/BR,C,02/08/2023,Upstart,Magnanimous,639,Karakontie (JPN),"White Lilac (Katie Miranda),",Agent for a D. J. Stable Graduate,White Lilac (Katie Miranda),KY,17,RNA,-100000,,,21.0," 1/4",04/06/2025,3,120,
105,O,2023,,CH,F,03/12/2023,Charlatan,Magnificience,640,Stormy Atlantic,"Eddie Woods, Agent XIX",,Eddie Woods,KY,11,OUT,,,04/05/2025,,,,,,
106,I,2023,,B,C,02/22/2023,Ransom the Moon,Magnolia Bee,641,Honor Code,"Champions of the Future, Agent I",,Champions of the Future,PA,16,RNA,-35000,,,10.2," 1/8",04/06/2025,2,75,
107,O,2023,,B,C,03/10/2023,Connect,Magsamelia,642,Mineshaft,"Harris Training Center LLC, Agent III",,Harris Training Center LLC,KY,13,OUT,,,04/10/2025,,,,,,
108,I,2023,,DB/BR,C,02/28/2023,Knicks Go,Majestic Island,643,Majestic Warrior,"Julie Davies LLC, Agent XXI",,Julie Davies LLC,KY,10,Carson McCord,170000,,,10.1," 1/8",04/06/2025,2,85,
109,I,2023,,B,F,04/14/2023,Hard Spun,Majorette,644,Will Take Charge,Kinsman Farm,,Kinsman Farm,KY,6,Gary Folgner,25000,,,10.3," 1/8",04/06/2025,3,116,
110,I,2023,Wander Woman,B,F,04/04/2023,Blame,Malibeauty,645,Malibu Moon,"Kinsman Farm, Agent II",,Kinsman Farm,KY,6,Sport of Kings Racing Partnership,50000,,,10.1," 1/8",04/06/2025,1,44,
111,I,2023,,CH,C,02/07/2023,Vino Rosso,Malibu Bird,646,Malibu Moon,"Ocala Stud, Agent",,Ocala Stud,KY,4,Diriyah Bloodstock,140000,,,21.3," 1/4",04/06/2025,3,129,
112,I,2023,,B,F,01/20/2023,Charlatan,Malibu Stacy,647,Tizway,"Tom McCrocklin, Agent XXV",,Tom McCrocklin,KY,18,"Hidden Brook, Agent",400000,,,20.4," 1/4",04/06/2025,1,1,
113,I,2023,Tail Gunner,CH,C,03/16/2023,Tiz the Law,Mama Mary,648,Bodemeister,"Davis Breaking and Training, Inc., Agent I",,Davis Breaking and Training,IN,12,RNA,-110000,,,10.1," 1/8",04/06/2025,2,89,
114,I,2023,,B,C,05/05/2023,Hard Spun,Ma Mo,649,Uncle Mo,"Longoria Training & Sales, Agent I",,Longoria Training & Sales,KY,7,"Joe Sharp, Agent",50000,,,10.1," 1/8",04/06/2025,3,126,
115,I,2023,,B,F,05/05/2023,Code of Honor,Mandamus,650,Constitution,"Two Cousins Training and Sales, Agent I",,Two Cousins Training and Sales,KY,B,"Bradley Thoroughbreds LLC, Agent",50000,,,10.0," 1/8",04/06/2025,2,72,
116,O,2023,,GR/RO,F,04/24/2023,Twirling Candy,Mannerly,651,Unbridled's Song,"Golden Rock Thoroughbreds, Agent X",,Golden Rock Thoroughbreds,KY,16,OUT,,,04/06/2025,,,,,,
117,O,2023,,B,F,04/04/2023,Charlatan,Mannhal,652,Into Mischief,"Niall Brennan Stables, Agent I",,Niall Brennan Stables,KY,8,OUT,,,04/06/2025,,,,,,
118,I,2023,,DB/BR,F,05/06/2023,Caracaro,Marazion Girl,653,Bellamy Road,Grassroots Training & Sales LLC,,Grassroots Training & Sales LLC,IN,J,Leo Sag Stables,92000,,,10.0," 1/8",04/06/2025,2,55,
119,O,2023,,B,C,02/15/2023,Omaha Beach,Margarita Friday,654,Johannesburg,"Hidden Brook, Agent IV",,Hidden Brook,KY,1,OUT,,,04/05/2025,,,,,,
120,I,2023,,B,C,03/10/2023,American Pharoah,Marie Madelaine (CHI),655,Ivan Denisovich (IRE),"Cortez Racing & Sales, Agent",,Cortez Racing & Sales,KY,15,Panic Stable,40000,Y,,10.1," 1/8",04/06/2025,1,39,
121,I,2023,,B,F,05/11/2023,Violence,Marine Layer,656,Into Mischief,"Pick View LLC, Agent X",,Pick View LLC,CA,G,"Jet Horse LLC, Peter Miller, Agent",75000,,,21.1," 1/4",04/06/2025,1,48,
122,I,2023,,B,C,04/04/2023,Adios Charlie,Marion Theatre,657,Montbrook,Ocala Stud,,Ocala Stud,FL,4,S.R.O.A. (K.O.I.D.),25000,,,21.3," 1/4",04/06/2025,2,80,
