hip_number,in_out_status,foaling_year,horse_name,color,sex,foaling_date,sire_name,dam_name,sort_dam,dam_sire,property_line_1,property_line_2,consignor_sort,foaling_area,barn_number,buyer_name,hammer_price,post_sale_indicator,outdate,ut_time,ut_distance,ut_actual_date,ut_group,ut_set,pp_pdf_link
29,O,2022,Mamuka,DB/BR,F,04/12/2022,Honor A. P.,Formby,349,Scat Daddy,"Majestic, Agent XVII",,Majestic,KY,13,OUT,,,04/02/2024,,,,,,
30,I,2022,,B,C,05/17/2022,Audible,Four Star Ninja,350,Drosselmeyer,"Longoria Training & Sales, Agent",,Longoria Training & Sales,KY,13,RNA,-22000,,,10.3," 1/8",04/07/2024,2,54,
31,I,2022,,GR/RO,F,04/22/2022,Volatile,Foxy Medal,351,Tapit,Horseland Stables,,Horseland Stables,KY,20,RNA,-15000,,,10.1," 1/8",04/07/2024,2,58,
32,I,2022,Foxy Dame,B,F,03/23/2022,Girvin,Foxy Mischief,352,Into Mischief,"Six K's Training & Sales LLC, Agent VI",,Six K's Training & Sales LLC,FL,20,"Metrics Equine, Agent",150000,,,9.4," 1/8",04/07/2024,1,24,
33,I,2022,,CH,C,03/10/2022,Complexity,Franderella,353,Henny Hughes,"Grassroots Training & Sales LLC, Agent I",,Grassroots Training & Sales LLC,KY,J,"Mike Maker, Agent",35000,Y,,10.0," 1/8",04/07/2024,2,92,
34,O,2022,,B,F,03/10/2022,Speightstown,Frank's Folly,354,Mineshaft,"Britton Peak, Agent",,Britton Peak,KY,19,OUT,,,04/16/2024,,,,,,
35,I,2022,,CH,C,03/11/2022,Kantharos,Free Rein,355,Street Cry (IRE),"Tradewinds Farm, Agent I",,Tradewinds Farm,KY,15,RNA,-50000,,,10.1," 1/8",04/07/2024,2,96,
36,I,2022,,CH,C,04/07/2022,Gun Runner,Full House,356,Discreetly Mine,"Grassroots Training & Sales LLC, Agent I",,Grassroots Training & Sales LLC,KY,J,"Oracle Bloodstock, Agent for Twin Sports Racing LL",90000,,,10.2," 1/8",04/07/2024,1,38,
37,I,2022,,DB/BR,C,04/08/2022,Tapiture,Full of Joy,357,Kitten's Joy,"Harris Training Center LLC, Agent III",,Harris Training Center LLC,NY,13,Lucky Man Racing LLC,140000,,,10.0," 1/8",04/07/2024,1,50,
38,O,2022,,DB/BR,C,04/14/2022,War of Will,Full of Zip,358,City Zip,"Tom McCrocklin, Agent IX",,Tom McCrocklin,KY,18,OUT,,,04/16/2024,,,,,,
39,I,2022,,B,C,04/22/2022,Flameaway,Funny Proposition,359,Medaglia d'Oro,"Scanlon Training & Sales, Agent XIX",,Scanlon Training & Sales,KY,10,RNA,-50000,,,10.2," 1/8",04/07/2024,2,98,
40,I,2022,Upward,DB/BR,C,05/09/2022,Upstart,Fu Peggi Sue,360,Fusaichi Pegasus,"Six K's Training & Sales LLC, Agent VII",,Six K's Training & Sales LLC,NY,20,RNA,-45000,,,21.4," 1/4",04/07/2024,2,103,
41,I,2022,,B,C,04/05/2022,McKinzie,Garter,361,Bernardini,A. G. Sales,,A. G. Sales,KY,14,Harmash Racing,50000,,,10.1," 1/8",04/07/2024,3,114,
42,O,2022,,GR/RO,C,03/02/2022,Thousand Words,Gateau St Honore,362,Don Gato,"Top Line Sales LLC, Agent L",,Top Line Sales LLC,KY,1,OUT,,,04/06/2024,,,,,,
43,O,2022,Mohair,DB/BR,F,02/28/2022,Maximus Mischief,Geebes,363,Fusaichi Pegasus,"Hidden Brook, Agent I",,Hidden Brook,KY,6,OUT,,,04/04/2024,,,,,,
44,I,2022,,CH,F,02/09/2022,Vino Rosso,Geisha Gal,364,Agnes Tachyon (JPN),"Kings Equine, Agent",,Kings Equine,FL,1,Abdullah Saeed Almaddah c/o Ben Mcelroy,40000,Y,,10.1," 1/8",04/07/2024,3,122,
45,O,2022,,DB/BR,F,03/01/2022,McKinzie,Ghost Flower,365,Ghostzapper,"Niall Brennan Stables, Agent VI",,Niall Brennan Stables,KY,8,OUT,,,04/07/2024,,,,,,
46,O,2022,,CH,C,04/27/2022,Authentic,Giant Mover,366,Giant's Causeway,"JVC Training and Sales, Agent",,JVC Training and Sales,KY,16,OUT,,,04/06/2024,,,,,,
47,O,2022,,GR/RO,C,03/28/2022,Volatile,Gibbet,367,War Front,"Top Line Sales LLC, Agent LIII",,Top Line Sales LLC,KY,1,OUT,,,04/05/2024,,,,,,
48,I,2022,,B,C,02/19/2022,Collected,Gidget Girl,368,Sky Mesa,"Eddie Woods, Agent XXXVIII",,Eddie Woods,ON,11,Al & Bill Ulwelling,40000,Y,,20.4," 1/4",04/07/2024,1,23,
49,O,2022,,DB/BR,F,04/24/2022,Maclean's Music,Ginned Up,369,Indian Charlie,"Mayberry Farm, Agent VI",,Mayberry Farm,KY,B,OUT,,,04/16/2024,,,,,,
50,I,2022,,B,F,03/30/2022,War of Will,Giovanna Blues,370,Gio Ponti,"Cortez Racing & Sales, Agent IV",,Cortez Racing & Sales,FL,16,RNA,-47000,,,21.2," 1/4",04/07/2024,1,35,
51,I,2022,Digits,CH,F,04/17/2022,Street Boss,Given Time,371,More Than Ready,Arindel,,Arindel,NY,3,Ron Pearson,10000,,,10.2," 1/8",04/07/2024,3,111,
52,I,2022,,GR/RO,F,03/07/2022,Global Campaign,Glackety,372,Smoke Glacken,"CM Thoroughbreds, Agent II",,CM Thoroughbreds,MD,C,RNA,-25000,,,10.2," 1/8",04/07/2024,3,119,
53,I,2022,,B,F,05/08/2022,Improbable,Glamour and Style,373,Dynaformer,Thorostock LLC,,Thorostock LLC,NY,H,Gutierrez Sales,20000,Y,,10.2," 1/8",04/07/2024,3,113,
54,O,2022,,DB/BR,C,02/18/2022,Kantharos,Glorify,374,Curlin,"Majestic, Agent I",,Majestic,FL,13,OUT,,,04/07/2024,,,,,,
55,I,2022,No Problem,DB/BR,C,05/09/2022,Improbable,G Note,375,Medaglia d'Oro,"Sequel Bloodstock, Agent for Chester & Mary Broman",,Sequel Bloodstock,NY,9,D. J. Stable LLC,100000,,,10.1," 1/8",04/07/2024,1,10,
56,I,2022,,DB/BR,F,04/06/2022,Audible,Go Cubs Go,376,Paddy O'Prado,"Pick View LLC, Agent XI",,Pick View LLC,KY,G,C.H.P.R.,9500,,,10.2," 1/8",04/07/2024,3,138,
57,I,2022,,B,F,04/22/2022,Oxbow,Go for Mo,377,Uncle Mo,"Wavertree Stables, Inc. (Ciaran Dunne), Agent IX",,Wavertree Stables,KY,5,Errol Hutton,26500,Y,,10.2," 1/8",04/07/2024,3,130,
58,O,2022,Gulfstream Mary D,B,F,03/18/2022,Authentic,Gold Arrow,378,Medaglia d'Oro,"Halcyon Hammock Farm, Agent III",,Halcyon Hammock Farm,KY,2,OUT,,,04/03/2024,,,,,,
59,I,2022,,DB/BR,C,05/10/2022,Vino Rosso,Golden Delicious,379,Harlan's Holiday,"Julie Davies LLC, Agent IV",,Julie Davies LLC,KY,7,Naif Almasoud for Abdulrahman Alsayed,270000,,,10.1," 1/8",04/07/2024,2,86,
60,I,2022,,GR/RO,F,04/14/2022,Caravaggio,Golden Finish,380,Chestertown Slew,"Flying Fish, Agent I",,Flying Fish,KY,19,C.H.P.R.,2500,,,10.1," 1/8",04/07/2024,1,52,
61,I,2022,,CH,F,04/21/2022,Speightster,Golden Jasmine,381,Goldencents,"Kings Equine, Agent",,Kings Equine,KY,1,"Barry Dolan, Agent for Dan Eubanks",32000,,,10.1," 1/8",04/07/2024,1,25,
62,I,2022,,DB/BR,C,03/25/2022,Union Rags,Goldenmine,382,Mineshaft,"1880 Bloodstock, Agent, II",,1880 Bloodstock,NY,15,"K.O.I.D. Co., Ltd.",55000,Y,,10.2," 1/8",04/07/2024,3,133,
63,I,2022,,CH,C,03/28/2022,Collected,Golden Orb,383,Orb,"Tom McCrocklin, Agent X",,Tom McCrocklin,KY,18,"Speedway Stables, LLC",310000,,,21.0," 1/4",04/07/2024,1,7,
64,O,2022,,CH,F,03/27/2022,Justify,Golden Star Lady,384,Candy Ride (ARG),"Scanlon Training & Sales, Agent VI",,Scanlon Training & Sales,KY,10,OUT,,,04/06/2024,,,,,,
65,I,2022,,CH,C,02/20/2022,Speightstown,Gold Standard,385,Medaglia d'Oro,"Eddie Woods, Agent XXV",,Eddie Woods,KY,11,David Berman/S.O.K. Racing,40000,Y,,21.1," 1/4",04/07/2024,1,3,
66,O,2022,,B,F,05/06/2022,Classic Empire,Goldstryke Glory,386,Second in Command,"Centofanti Thoroughbreds, Agent III",,Centofanti Thoroughbreds,ON,16,OUT,,,04/07/2024,,,,,,
67,I,2022,,B,C,03/16/2022,Omaha Beach,Goodnight Moon,387,Malibu Moon,"Golden Rock Thoroughbreds, Agent XV",,Golden Rock Thoroughbreds,NY,14,RNA,-60000,,,10.2," 1/8",04/07/2024,3,131,
68,O,2022,,GR/RO,C,05/02/2022,Flatter,Gospel Girl,388,Holy Bull,"de Meric Sales, Agent I",,de Meric Sales,FL,12,OUT,,,04/07/2024,,,,,,
69,I,2022,,B,F,03/15/2022,Spun to Run,Gotachancetodance,389,English Channel,"Eddie Woods, Agent XXII",,Eddie Woods,KY,11,RNA,-55000,,,10.2," 1/8",04/07/2024,2,65,
70,I,2022,,CH,F,04/09/2022,First Samurai,Go West Marie,390,Western Fame,"Marcial Galan, Agent",,Marcial Galan,KY,20,"Alistair Roden, Agent for R. B. Hess, Jr.",75000,,,10.0," 1/8",04/07/2024,1,43,
71,I,2022,,CH,F,01/26/2022,Practical Joke,Grace Is Gone,391,Malibu Moon,"de Meric Sales, Agent IX",,de Meric Sales,KY,12,"Exline-Border Racing LLC, Marette Farrell, Agent",270000,,,10.1," 1/8",04/07/2024,2,75,
72,I,2022,,B,F,02/13/2022,Maclean's Music,Gran Cherry,392,First Dude,"de Meric Sales, Agent XXXV",,de Meric Sales,KY,12,Narvick Int'l,185000,,,10.0," 1/8",04/07/2024,1,13,
73,O,2022,,CH,C,05/06/2022,Violence,Grandacious,393,Grand Slam,"Old South Farm LLC, Agent I",,Old South Farm LLC,KY,9,OUT,,,04/16/2024,,,,,,
74,I,2022,,DB/BR,C,02/09/2022,Tonalist,Grand Moon,394,Malibu Moon,"Six K's Training & Sales LLC, Agent VIII",,Six K's Training & Sales LLC,MD,20,Suliman Bloodstock,20000,,,10.4," 1/8",04/07/2024,3,139,
75,I,2022,,DB/BR,C,04/08/2022,Spun to Run,Gran Lucky Girl,395,Maclean's Music,"Equinox, Inc., Agent",,Equinox  Inc.,NY,16,Narvick Int'l,52000,,,10.1," 1/8",04/07/2024,3,109,
76,I,2022,,CH,C,04/03/2022,Tapit,Granny Mc's Kitten,396,Kitten's Joy,"de Meric Sales, Agent VIII",,de Meric Sales,KY,12,D. J. Stable LLC & Robert Cotran,200000,,,10.1," 1/8",04/07/2024,1,29,
77,O,2022,Gratefully Yours,B,F,04/15/2022,Uncle Mo,Grateful,397,Hard Spun,"Sequel Bloodstock, Agent II",,Sequel Bloodstock,KY,9,OUT,,,04/16/2024,,,,,,
78,I,2022,,DB/BR,F,04/29/2022,Midnight Lute,Gray Storm A'comin,398,Tropical Storm,"Santa Fe Thoroughbreds, Agent",,Santa Fe Thoroughbreds,KY,14,S.R.O.A (KOID),30000,,,10.2," 1/8",04/07/2024,2,93,
79,I,2022,,DB/BR,F,02/27/2022,Spun to Run,Great Hot (BRZ),399,Orientate,"Pick View LLC, Agent III",,Pick View LLC,KY,G,RNA,-95000,,,10.1," 1/8",04/07/2024,1,47,
80,O,2022,Great Security,B,C,05/05/2022,Maximum Security,Great Majestic,400,Majestic Warrior,"Majestic, Agent XXII",,Majestic,KY,13,OUT,,,04/02/2024,,,,,,
81,I,2022,,B,F,01/01/2022,Rogueish,Great Willpower,401,Ghostzapper,Goldencents Thoroughbreds,,Goldencents Thoroughbreds,FL,20,Ruben Ramirez,35000,,,10.0," 1/8",04/07/2024,1,49,
82,I,2022,,B,C,04/14/2022,Instagrand,Green Waters,402,Arch,"Eddie Woods, Agent XXIII",,Eddie Woods,ON,11,C.H.P.R.,11000,,,10.1," 1/8",04/07/2024,2,91,
83,I,2022,,GR/RO,C,04/28/2022,Cairo Prince,Guess What,403,Proud Citizen,"Majestic, Agent XXII",,Majestic,KY,13,Lea Farms LLC,110000,,,10.1," 1/8",04/07/2024,2,60,
84,O,2022,,B,C,04/01/2022,Bolt d'Oro,Half A. P.,404,Pulpit,"Tom McCrocklin, Agent VIII",,Tom McCrocklin,KY,18,OUT,,,04/08/2024,,,,,,
85,O,2022,,B,C,03/29/2022,Mr. Money,Happy Choice,405,Broken Vow,"Richardson Bloodstock, Agent",,Richardson Bloodstock,LA,D,OUT,,,04/16/2024,,,,,,
86,O,2022,,CH,F,02/21/2022,Practical Joke,Happy Road,406,Quality Road,"Wavertree Stables, Inc. (Ciaran Dunne), Agent IX",,Wavertree Stables,KY,5,OUT,,,04/16/2024,,,,,,
87,I,2022,,CH,C,02/28/2022,Neolithic,Harbor Sunset,407,Fast Anna,Grassroots Training & Sales LLC,,Grassroots Training & Sales LLC,FL,J,Bill Childs,175000,,,9.4," 1/8",04/07/2024,2,62,
88,O,2022,Empressstrikesback,B,F,04/12/2022,Adios Charlie,Hardcore Candy,408,Yonaguska,"Ocala Stud, Agent",,Ocala Stud,FL,4,OUT,,,04/07/2024,,,,,,
89,I,2022,,CH,C,04/21/2022,Echo Town,Hard Headed Temper,409,Hard Spun,"Fly By, Agent I",,Fly By,KY,13,RNA,-120000,,,10.1," 1/8",04/07/2024,1,51,
90,I,2022,Portrayer,B,C,02/20/2022,Grazen,Hard to Resist,410,Johannesburg,"Niall Brennan Stables, Agent XXVI",,Niall Brennan Stables,MD,8,RNA,-240000,,,10.1," 1/8",04/07/2024,2,88,
91,I,2022,Whystay Justgo,DB/BR,F,02/25/2022,Mendelssohn,Hard to Stay Notgo,411,More Than Ready,"Sequel Bloodstock, Agent for Chester & Mary Broman",,Sequel Bloodstock,NY,9,"Team Hanley / 30 Year Farm / B S W / Crow, Agent",115000,,,10.1," 1/8",04/07/2024,3,137,
92,I,2022,,B,C,03/29/2022,Improbable,Harlington's Rose,412,Harlington,"Scanlon Training & Sales, Agent XIV",,Scanlon Training & Sales,KY,10,"RKTN Racing, LLC",60000,,,10.2," 1/8",04/07/2024,1,37,
93,O,2022,,DB/BR,C,04/13/2022,Uncle Mo,Harmless,413,Creative Cause,"de Meric Sales, Agent XLIII",,de Meric Sales,KY,12,OUT,,,04/16/2024,,,,,,
94,I,2022,,B,C,02/08/2022,War of Will,Harmony Victory,414,More Than Ready,Grassroots Training & Sales LLC,,Grassroots Training & Sales LLC,KY,J,"West Point Thoroughbreds / James Politano, LEB,,Ag",80000,,,10.1," 1/8",04/07/2024,3,115,
95,O,2022,,B,F,02/05/2022,Tiz the Law,Harriett Lane,415,Giant's Causeway,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXXV",,Wavertree Stables,KY,5,OUT,,,04/07/2024,,,,,,
96,O,2022,,DB/BR,C,05/07/2022,Into Mischief,Harvestfortheworld (IRE),416,So You Think (NZ),"Wavertree Stables, Inc. (Ciaran Dunne), Agent XV",,Wavertree Stables,KY,5,OUT,,,04/16/2024,,,,,,
97,O,2022,,B,F,03/18/2022,Speightstown,Haylie Brae,417,Bernardini,"Davis Breaking and Training, Inc., Agent I",,Davis Breaking and Training  Inc.,KY,8,OUT,,,04/04/2024,,,,,,
98,I,2022,,B,F,03/25/2022,Bolt d'Oro,Heart of Destiny,418,Lion Heart,CM Thoroughbreds,,CM Thoroughbreds,KY,C,"Cary Bloodstock, Agent for Steve Landers Racing",185000,,,10.0," 1/8",04/07/2024,1,32,
99,I,2022,,B,F,03/14/2022,Into Mischief,Hearty Laugh,419,Distorted Humor,"Scanlon Training & Sales, Agent XV",,Scanlon Training & Sales,KY,10,RNA,-250000,,,10.0," 1/8",04/07/2024,2,68,
100,O,2022,,B,C,03/23/2022,Tapit,Heat Street,420,Street Cry (IRE),"Lucan Bloodstock (Karl Keegan), Agent IX",,Lucan Bloodstock (Karl Keegan),KY,18,OUT,,,04/05/2024,,,,,,
101,I,2022,,DB/BR,C,05/07/2022,Upstart,Heaven Knows What,421,Holy Bull,"Niall Brennan Stables, Agent",,Niall Brennan Stables,FL,8,"West Point Thoroughbreds, Inc., L.E.B., Agent",95000,,,10.1," 1/8",04/07/2024,1,6,
102,I,2022,,B,F,04/30/2022,Authentic,Heavenly Hill,422,City Zip,"Grassroots Training & Sales LLC, Agent",,Grassroots Training & Sales LLC,KY,J,"Mike Maker, Agent",85000,,,9.4," 1/8",04/07/2024,1,1,
103,I,2022,,B,C,04/02/2022,Munnings,Heavenly Scat,423,Scat Daddy,"Eddie Woods, Agent VIII",,Eddie Woods,KY,11,"James Divito, Agent",300000,,,10.1," 1/8",04/10/2024,1,50,
104,O,2022,,DB/BR,F,03/11/2022,Flameaway,Heavenly Song,424,Liam's Map,"Pick View LLC, Agent XII",,Pick View LLC,KY,G,OUT,,,04/16/2024,,,,,,
105,I,2022,,CH,F,03/20/2022,Audible,Heaven's Humor,425,Drosselmeyer,"Top Line Sales LLC, Agent XV",,Top Line Sales LLC,NY,1,Perez Stables LLC,20000,,,10.1," 1/8",04/07/2024,2,59,
106,I,2022,,B,F,01/16/2022,Win Win Win,Hello Juliet,426,Adios Charlie,Ocala Stud,,Ocala Stud,FL,4,Champion Equine LLC,310000,,,21.1," 1/4",04/07/2024,1,26,
107,I,2022,,B,F,03/22/2022,Gift Box,Henley,427,Corinthian,"de Meric Sales, Agent X",,de Meric Sales,KY,12,"Bradley Thoroughbreds LLC, Agent",110000,,,10.1," 1/8",04/07/2024,1,34,
108,I,2022,,B,C,04/20/2022,Army Mule,Hermione's Magic,428,Forest Wildcat,"Envision Equine, Agent",,Envision Equine,FL,A,"K.O.I.D. Co., Ltd.",100000,,,9.4," 1/8",04/07/2024,3,107,
109,I,2022,,B,C,03/19/2022,Vekoma,Hidden Facts,429,The Factor,Kinsman Farm,,Kinsman Farm,KY,8,Reeves Thoroughbred Racing,325000,,,10.0," 1/8",04/07/2024,2,53,
110,I,2022,,GR/RO,F,04/14/2022,Cairo Prince,Hidden Rosie,430,Signature Red,"Six K's Training & Sales LLC, Agent II",,Six K's Training & Sales LLC,KY,20,EMCEE,125000,,,10.0," 1/8",04/07/2024,2,66,
111,I,2022,,B,F,03/14/2022,War of Will,Hi Holiday,431,Harlan's Holiday,"Randy Miles, Agent III",,Randy Miles,KY,19,RNA,-27000,,,10.3," 1/8",04/07/2024,1,31,
112,O,2022,,B,F,02/17/2022,Game Winner,History Made,432,Giant's Causeway,"Omar Ramirez Bloodstock, Agent XVIII",,Omar Ramirez Bloodstock,KY,17,OUT,,,04/16/2024,,,,,,
113,I,2022,,DB/BR,C,04/01/2022,Malibu Moon,Holiday Wishes,433,Harlan's Holiday,"Ordonez Thoroughbreds, Agent IX",,Ordonez Thoroughbreds,NY,A,RNA,-85000,,,10.1," 1/8",04/07/2024,2,71,
114,I,2022,,CH,F,03/11/2022,Gormley,Holly's Star,434,Dublin,"New Way, Agent II",,New Way,NY,C,RNA,-32000,,,10.3," 1/8",04/07/2024,2,79,
115,O,2022,,CH,C,05/13/2022,Gun Runner,Holy Place,435,Pulpit,"Richardson Bloodstock, Agent",,Richardson Bloodstock,KY,D,OUT,,,03/07/2024,,,,,,
116,I,2022,,DB/BR,C,03/12/2022,Instilled Regard,Home Again,436,Speightstown,"Silvestre Chavez Thoroughbreds, Agent V",,Silvestre Chavez Thoroughbreds,KY,17,"K.O.I.D. Co., Ltd.",60000,,,10.2," 1/8",04/07/2024,2,89,
117,O,2022,,B,F,02/10/2022,Army Mule,Homesteading,437,Unbridled's Song,"de Meric Sales, Agent III",,de Meric Sales,KY,12,OUT,,,04/11/2024,,,,,,
118,I,2022,,B,F,03/20/2022,Maximum Security,Honest Gold,438,Medaglia d'Oro,"Ortiz Training Stable LLC, Agent II",,Ortiz Training Stable LLC,KY,B,Gary Folgner,20000,,,10.1," 1/8",04/07/2024,2,77,
119,I,2022,,B,F,04/17/2022,Bernardini,Honey Graeme,439,Graeme Hall,"Hoppel LLC, Agent IX",,Hoppel LLC,KY,7,RNA,-150000,,,21.1," 1/4",04/07/2024,1,19,
120,I,2022,,B,C,02/16/2022,Frosted,Honey Muffin,440,Candy Ride (ARG),"Parrish Farms, Agent",,Parrish Farms,KY,14,"Joe Sharp, Agt",47500,Y,,10.1," 1/8",04/07/2024,2,73,
121,I,2022,,DB/BR,F,02/26/2022,Vekoma,Honey Trap,441,Medaglia d'Oro,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VI",,Wavertree Stables,FL,5,Starship Stables,50000,,,10.2," 1/8",04/14/2024,2,66,
122,I,2022,,DB/BR,F,03/23/2022,Thousand Words,Honky Tonk Rose,442,Forest Wildcat,"JVC Training and Sales, Agent",,JVC Training and Sales,KY,16,Gary Folgner,20000,,,10.1," 1/8",04/07/2024,2,80,
123,I,2022,,DB/BR,F,04/17/2022,Mitole,Hopeful Union,443,Dixie Union,"de Meric Sales, Agent XI",,de Meric Sales,KY,12,Robert Robertson,40000,Y,,10.2," 1/8",04/07/2024,2,82,
